source,2023/2024
nuclear,82.72864
hydro,81.2029932
wind,10.6455038
solar,97.6363878
geothermal,3.3730324
biofuels,41.4735242
coal,275.4413723
gas,311.3131666
oil,22.7849527
unspecified-fossil-fuels,22.5536242
other,16.148676
